NO2,O3_1hr,O3_4hr,O3_8hr,CO,PM10 1 hr,PM2.5 1 hr,PM10,PM2.5,AQI_CO,AQI_NO2,AQI_O3_1hr,AQI_O3_4hr,AQI_O3_8hr,AQI_PM10,AQI_PM2.5,AQI_Siter,DateTime,AQI_Site,AQI_pred
0.001,0.03,0.029,0.027,0.0,10.0,14.0,8.0,17.0,0.0,1.0,30.0,36.0,41.0,17.0,67.0,36.0,2013-11-05 15:00:00,36.0,36.0
0.002,0.024,0.022,0.018,0.12,5.0,1.0,24.0,13.0,1.0,2.0,24.0,28.0,28.0,47.0,53.0,53.0,2020-08-26 17:00:00,53.0,52.38
0.001,0.016,0.02,0.023,0.0,13.0,8.0,5.0,4.0,0.0,1.0,16.0,25.0,35.0,10.0,14.0,35.0,2022-04-12 20:00:00,35.0,33.23
0.001,0.031,0.028,0.022,0.0,20.1,6.7,25.8,12.7,0.0,1.0,31.0,35.0,34.0,51.0,50.0,51.0,2023-10-02 12:00:00,51.0,52.39
0.003,0.02,0.022,0.023,0.05,4.0,0.0,4.0,3.0,1.0,4.0,20.0,27.0,35.0,7.0,13.0,35.0,2021-09-16 05:00:00,35.0,34.76
0.0,0.019,0.02,0.02,0.01,13.0,14.0,6.0,17.0,0.0,0.0,19.0,25.0,30.0,13.0,67.0,25.0,2013-03-03 01:00:00,25.0,25.0
0.002,0.027,0.026,0.025,0.05,1.0,7.0,7.0,5.0,1.0,3.0,27.0,32.0,39.0,13.0,21.0,39.0,2021-09-13 23:00:00,39.0,36.81
0.014,0.002,0.003,0.005,0.53,29.0,14.0,19.0,17.0,6.0,12.0,2.0,3.0,8.0,38.0,67.0,38.0,2011-07-01 00:00:00,38.0,38.0
0.0,0.028,0.027,0.025,0.05,2.0,14.0,8.0,17.0,1.0,0.0,28.0,33.0,39.0,17.0,67.0,33.0,2011-07-19 23:00:00,33.0,33.0
0.0,0.024,0.022,0.017,0.05,3.0,0.0,6.0,3.0,1.0,0.0,24.0,27.0,26.0,13.0,11.0,27.0,2020-03-27 13:00:00,27.0,27.04
0.014,0.0,0.0,0.005,0.32,18.0,13.0,17.0,17.0,4.0,12.0,0.0,0.0,7.0,35.0,59.0,59.0,2015-05-28 00:00:00,59.0,59.06
0.001,0.017,0.023,0.026,0.07,9.0,0.0,7.0,5.0,1.0,1.0,17.0,28.0,39.0,13.0,19.0,28.0,2016-01-18 21:00:00,28.0,28.39
0.0,0.014,0.015,0.016,0.0,9.0,0.0,11.0,4.0,0.0,0.0,14.0,18.0,24.0,23.0,17.0,24.0,2021-02-18 17:00:00,24.0,23.86
0.001,0.018,0.017,0.018,0.02,12.0,14.0,9.0,17.0,0.0,1.0,18.0,21.0,28.0,19.0,67.0,21.0,2012-12-12 01:00:00,21.0,21.0
0.015,0.008,0.023,0.025,0.07,10.0,1.0,5.0,2.0,1.0,13.0,8.0,28.0,38.0,10.0,7.0,28.0,2020-03-12 20:00:00,28.0,30.64
0.011,0.007,0.017,0.029,0.49,18.0,14.0,24.0,17.0,6.0,15.0,7.0,21.0,45.0,48.0,67.0,65.0,2013-10-20 01:00:00,65.0,64.26
0.014,0.0,0.002,0.006,0.54,26.0,14.0,12.0,17.0,6.0,12.0,0.0,2.0,10.0,23.0,67.0,23.0,2013-05-19 02:00:00,23.0,23.0
0.014,0.002,0.003,0.009,0.52,20.0,8.0,10.0,12.0,6.0,12.0,2.0,3.0,14.0,21.0,47.0,47.0,2019-08-14 01:00:00,47.0,47.0
0.0,0.022,0.022,0.02,0.0,0.0,1.0,4.0,2.0,0.0,0.0,22.0,27.0,30.0,7.0,8.0,30.0,2022-04-07 00:00:00,30.0,28.61
0.001,0.016,0.017,0.018,0.22,5.0,14.0,2.0,17.0,2.0,1.0,16.0,22.0,27.0,3.0,67.0,22.0,2015-04-10 17:00:00,22.0,22.0
0.0,0.019,0.019,0.018,0.1,8.0,1.0,3.0,2.0,1.0,0.0,19.0,23.0,27.0,6.0,8.0,27.0,2023-01-05 16:00:00,27.0,26.17
0.001,0.033,0.018,0.008,0.38,27.0,22.0,26.0,17.0,4.0,1.0,33.0,23.0,12.0,51.0,68.0,64.0,2021-04-30 13:00:00,64.0,63.74
0.001,0.017,0.017,0.016,0.04,2.0,0.0,5.0,3.0,0.0,1.0,17.0,21.0,25.0,9.0,11.0,21.0,2016-03-21 11:00:00,21.0,22.0
0.005,0.012,0.005,0.003,0.5,9.0,1.0,21.0,15.0,6.0,4.0,12.0,6.0,4.0,42.0,58.0,58.0,2020-07-08 12:00:00,58.0,58.0
0.002,0.017,0.019,0.02,0.06,10.0,15.0,2.0,3.0,1.0,2.0,17.0,24.0,31.0,4.0,13.0,24.0,2016-05-13 17:00:00,24.0,26.39
0.009,0.006,0.014,0.019,0.13,3.0,14.0,6.0,17.0,1.0,8.0,6.0,17.0,30.0,13.0,67.0,17.0,2012-10-09 06:00:00,17.0,17.0
0.011,0.002,0.003,0.005,0.48,22.0,17.0,13.0,11.0,6.0,9.0,2.0,3.0,8.0,25.0,42.0,42.0,2017-06-02 04:00:00,42.0,42.0
0.003,0.022,0.013,0.012,0.22,11.0,14.0,11.0,17.0,2.0,3.0,22.0,16.0,18.0,22.0,67.0,22.0,2015-02-28 10:00:00,22.0,22.0
0.012,0.004,0.019,0.025,0.16,23.0,14.0,11.0,17.0,2.0,10.0,4.0,24.0,38.0,23.0,67.0,24.0,2012-10-24 21:00:00,24.0,24.0
0.005,0.024,0.023,0.02,0.14,18.0,14.0,9.0,17.0,2.0,4.0,24.0,29.0,31.0,17.0,67.0,29.0,2012-04-02 18:00:00,29.0,29.0
0.0,0.032,0.023,0.013,0.53,1.0,4.0,16.0,17.0,6.0,0.0,32.0,28.0,20.0,32.0,67.0,63.0,2017-06-25 13:00:00,63.0,62.66
0.008,0.0,0.0,0.002,0.13,7.0,13.0,18.0,8.0,1.0,7.0,0.0,0.0,3.0,35.0,33.0,35.0,2016-03-05 06:00:00,35.0,35.0
0.0,0.029,0.022,0.013,0.25,3.0,14.0,5.0,17.0,3.0,0.0,29.0,28.0,19.0,9.0,67.0,29.0,2014-09-26 13:00:00,29.0,29.0
0.008,0.003,0.003,0.003,0.51,27.0,12.0,26.0,17.0,6.0,7.0,3.0,3.0,5.0,49.0,69.0,62.0,2018-05-26 04:00:00,62.0,62.17
0.002,0.023,0.017,0.012,0.17,5.3,3.8,9.6,4.7,2.0,2.0,23.0,21.0,19.0,19.0,19.0,19.0,2023-04-07 13:00:00,19.0,22.03
0.0,0.032,0.034,0.035,0.02,7.0,13.0,23.0,4.0,0.0,0.0,32.0,42.0,54.0,46.0,17.0,56.0,2020-11-16 16:00:00,56.0,52.2
0.0,0.021,0.025,0.027,0.06,16.0,10.0,7.0,6.0,1.0,0.0,21.0,31.0,42.0,15.0,22.0,31.0,2017-01-02 20:00:00,31.0,31.27
0.009,0.001,0.01,0.015,0.19,10.0,13.0,12.0,13.0,2.0,8.0,1.0,12.0,24.0,24.0,52.0,52.0,2016-08-08 22:00:00,52.0,52.0
0.0,0.039,0.037,0.028,0.2,6.0,14.0,15.0,17.0,2.0,0.0,39.0,47.0,43.0,30.0,67.0,47.0,2014-11-24 11:00:00,47.0,47.06
0.0,0.022,0.023,0.024,0.06,4.0,14.0,9.0,17.0,1.0,0.0,22.0,28.0,36.0,18.0,67.0,28.0,2014-11-27 04:00:00,28.0,28.0
0.0,0.022,0.022,0.02,0.08,1.0,1.0,8.0,4.0,1.0,0.0,22.0,27.0,31.0,17.0,14.0,31.0,2022-12-08 11:00:00,31.0,27.55
0.013,0.003,0.002,0.003,0.39,24.0,20.0,23.0,17.0,4.0,11.0,3.0,3.0,5.0,46.0,67.0,64.0,2019-05-18 01:00:00,64.0,64.03
0.003,0.021,0.023,0.02,0.0,3.0,7.0,7.0,5.0,0.0,4.0,21.0,29.0,30.0,13.0,18.0,30.0,2022-04-24 17:00:00,30.0,29.85
0.0,0.032,0.022,0.025,0.13,3.0,5.0,2.0,3.0,1.0,0.0,32.0,27.0,39.0,5.0,12.0,32.0,2018-07-21 11:00:00,32.0,33.02
0.005,0.005,0.004,0.007,0.16,5.0,4.0,9.0,3.0,2.0,6.0,5.0,5.0,10.0,18.0,12.0,18.0,2021-10-18 07:00:00,18.0,18.0
0.002,0.033,0.033,0.032,0.1,7.0,1.0,10.0,5.0,1.0,2.0,33.0,41.0,50.0,20.0,21.0,41.0,2019-09-16 17:00:00,41.0,41.18
0.008,0.003,0.007,0.011,0.2,9.0,2.0,8.0,6.0,2.0,10.0,3.0,8.0,17.0,16.0,22.0,22.0,2021-09-13 07:00:00,22.0,22.0
